Cust ID,Account Number,Date of Trans,Asset Type,Security ID,Trans Type,Quantity,Price (USD)
100,123456,4/27/2015,Equity,JPMC,Buy,500,72
100,123456,4/28/2015,Equity,CITI,Buy,1000,16
100,123456,4/29/2015,Equity,BNY,Buy,1250,11
100,123456,5/29/2015,Equity,BNY,Sell,750,11.5
100,123456,4/30/2015,Equity,CITI,Buy,1000,15
100,123456,6/12/2015,Equity,JPMC,Sell,200,299
100,123456,4/30/2015,Equity,CITI,Sell,250,15
200,123457,4/27/2015,Equity,BNY,Buy,1500,12
200,123457,4/28/2015,Equity,SIC,Buy,4000,29
200,123457,4/29/2015,Equity,CITI,Buy,10000,16.1
200,123457,4/30/2015,Equity,BNY,Sell,1250,10.45
200,123457,4/30/2015,Equity,CITI,Sell,1250,15
200,123457,6/12/2015,Equity,JPMC,Buy,1130,299
300,123458,4/27/2015,Equity,JPMC,Buy,3500,72
300,123458,4/28/2015,Equity,CITI,Buy,12000,16
300,123458,4/29/2015,Equity,BNY,Buy,1250,11
300,123458,4/30/2015,Equity,BNY,Sell,250,10.45
300,123458,4/30/2015,Equity,CITI,Sell,1200,15
400,123459,4/27/2015,Equity,JPMC,Buy,500,72
400,123459,4/28/2015,Equity,CITI,Buy,1500,16
400,123459,4/29/2015,Equity,BNY,Buy,250,11
400,123459,4/30/2015,Equity,BNY,Buy,1250,10.45
400,123459,4/30/2015,Equity,CITI,Buy,1000,15
